#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,xorg-xset,Utility for configuring and adjusting X server.
,libxft,Renders glyphs in the terminal
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,arandr,allows the user to customize monitor arrangements.
,dosfstools,allows your computer to access dos-like filesystems.
,xwallpaper,sets the wallpaper.
,unclutter,hides an inactive mouse.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xbacklight,enables changing screen brightness levels.
G,https://github.com/lukesmithxyz/dwmblocks.git,serves as the modular status bar.
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/ZachWWalden/st.git,is my custom build of suckless's terminal emulator.
G,https://github.com/ZachWWalden/dwm.git,is the window manager.
,slock,"allows you to lock your computer, and quickly unlock with your password."
,tigervnc,vnc client and server
,nitrogen,Wallpaper manager for X window system
